DOC_NUM,DATE,SAKNR,TXT50,SHKZG,AMOUNT
1000001,2025-05-01,640101,主营业务成本-产品A,S,50000.00
1000001,2025-05-01,140501,库存商品-成品,H,50000.00
1000002,2025-05-02,112201,应收账款-国内,S,113000.00
1000002,2025-05-02,600101,主营业务收入-产品A,H,100000.00
1000002,2025-05-02,222101,应交税费-应交增值税-销项,H,13000.00
1000003,2025-05-03,640101,主营业务成本-产品A,S,45000.00
1000003,2025-05-03,140601,发出商品,H,45000.00
1000004,2025-05-04,600101,主营业务收入-产品A,S,10000.00
1000004,2025-05-04,222101,应交税费-应交增值税-销项,S,1300.00
1000004,2025-05-04,112201,应收账款-国内,H,11300.00
5000001,2025-06-01,140301,原材料-钢材,S,30000.00
5000001,2025-06-01,220202,应付暂估-GR/IR,H,30000.00
5000002,2025-06-02,220202,应付暂估-GR/IR,S,30000.00
5000002,2025-06-02,222102,应交税费-应交增值税-进项,S,3900.00
5000002,2025-06-02,220201,应付账款-供应商,H,33900.00
7000001,2025-07-01,500101,生产成本-基本生产,S,20000.00
7000001,2025-07-01,140301,原材料-钢材,H,20000.00
7000002,2025-07-02,140501,库存商品-成品,S,45000.00
7000002,2025-07-02,500101,生产成本-基本生产,H,45000.00
7000003,2025-07-03,140502,库存商品-产成品差异,S,500.00
7000003,2025-07-03,500103,生产成本-结转产成品差异,H,500.00
7000004,2025-07-04,640101,主营业务成本-产品A,S,300.00
7000004,2025-07-04,140502,库存商品-产成品差异,H,300.00
