公司,SAKNR,TXT50,货币,部门,已结转余额,DMBTR_DEBIT,在制表期间的借方余额,报表期间的贷方余额,DMBTR_CREDIT
4390,1002010201,银行存款-人民币-农业银行-基本户,CNY,"526,577.28",0.00,1242309103.99,"1,242,203,152.22","632,529.05",0.0
4390,1002010211,银行存款-人民币-农业银行-一般户2,CNY,0.00,0.00,424454247.96,"424,454,247.96",0.00,0.0
4390,1002010212,银行存款-人民币-农业银行-一般户3,CNY,"1,847,089.44",0.00,635251995.72,"636,230,697.16","868,388.00",0.0
4390,1002010510,银行存款-人民币-工商银行-一般户1,CNY,133.56,0.00,500.01,633.57,0.00,0.0
4390,1002010612,银行存款-人民币-中信实业银行-一般户3,CNY,892.23,0.00,7825035.23,"7,819,323.17","6,604.29",0.0
4390,1002010811,银行存款-人民币-兴业银行-一般户2,CNY,"10,509,204.33",0.00,1313.63,"10,510,401.00",116.96,0.0
4390,1002011011,银行存款-人民币-招商银行-一般户2,CNY,"2,359.73",0.00,30000.34,"30,037.36","2,322.71",0.0
4390,1002013012,银行存款-人民币-成都银行-一般户3,CNY,"1,948.34",0.00,0.23,400.00,"1,548.57",0.0
4390,1002013020,银行存款-人民币-成都银行-专用户1,CNY,"608,751.57",0.00,76.09,0.00,"608,827.66",0.0
4390,1002013810,银行存款-人民币-平安银行-一般户1,CNY,355.79,0.00,0.04,200.00,155.83,0.0
4390,1002013910,银行存款-人民币-国家开发银行-一般户1,CNY,"1,433.26",0.00,11064915.82,"11,064,900.00","1,449.08",0.0
4390,1002015110,银行存款-人民币-四川银行-一般户1,CNY,"9,685.61",0.00,3469533.33,"3,479,000.00",218.94,0.0
4390,1012990100,其他货币资金-在途资金-供应链金融,CNY,0.00,0.00,1600191.95,"1,600,191.95",0.00,0.0
4390,1101010000,交易性金融资产-成本,CNY,"405,988.25",0.00,0.0,0.00,"405,988.25",0.0
4390,1101020000,交易性金融资产-公允价值变动,CNY,"395,423.50",0.00,110175.25,"175,073.00","330,525.75",0.0
