帐目表,Trs,评估分组代码,KONTS,ValCl,KONTH,KONTH_1
4000,AUM,4010,nan,7900,1405999999,1405999999
4000,AUM,4010,nan,7920,1405999999,1405999999
4000,AUM,4010,nan,7921,1405999999,1405999999
4000,AUM,4020,nan,7900,1405999999,1405999999
4000,AUM,4020,nan,7920,1405999999,1405999999
4000,AUM,4020,nan,7921,1405999999,1405999999
4000,AUM,4030,nan,7920,1405999999,1405999999
4000,AUM,4050,nan,7921,1405999999,1405999999
4000,AUM,4100,nan,7920,1405999999,1405999999
4000,AUM,4100,nan,7924,1405999999,1405999999
4000,AUM,4110,nan,7923,1405999999,1405999999
4000,AUM,4120,nan,7923,1405999999,1405999999
4000,AUM,4120,nan,7928,1405999999,1405999999
4000,AUM,4130,nan,7920,1405999999,1405999999
4000,AUM,4130,nan,7923,1405999999,1405999999
4000,AUM,4150,nan,3000,1403999999,1403999999
4000,AUM,4150,nan,3040,1403999999,1403999999
4000,AUM,4150,nan,3050,1403999999,1403999999
4000,AUM,4150,nan,3400,1403999999,1403999999
4000,AUM,4150,nan,7900,1407999999,1407999999
4000,AUM,4150,nan,7920,1405999999,1405999999
4000,AUM,4150,nan,7921,1405999999,1405999999
4000,AUM,4150,nan,7922,1405999999,1405999999
4000,AUM,4150,nan,7923,1405999999,1405999999
4000,AUM,4180,nan,3000,1403999999,1403999999
4000,AUM,4180,nan,3040,1403999999,1403999999
4000,AUM,4180,nan,3050,1403999999,1403999999
4000,AUM,4180,nan,3400,1403999999,1403999999
4000,AUM,4180,nan,7900,1407999999,1407999999
4000,AUM,4180,nan,7920,1405999999,1405999999
4000,AUM,4180,nan,7921,1405999999,1405999999
4000,AUM,4180,nan,7922,1405999999,1405999999
4000,AUM,4180,nan,7923,1405999999,1405999999
4000,AUM,4480,nan,7923,1405999999,1405999999
4000,AUM,4510,nan,3000,1403999999,1403999999
4000,AUM,4680,nan,7923,1405999999,1405999999
4000,AUM,4800,nan,7921,1405999999,1405999999
4000,AUM,5050,nan,7921,1405999999,1405999999
4000,AUM,5050,nan,7923,1405999999,1405999999
4000,BIL,,X,,4104080000,4104080000
4000,BSP,,nan,,6603030000,6603030000
4000,BSV,4010,nan,3000,1408000000,1408000000
4000,BSV,4010,nan,7900,1408000000,1408000000
4000,BSV,4010,nan,7901,1408000000,1408000000
4000,BSV,4010,nan,7920,1408000000,1408000000
4000,BSV,4010,nan,7921,1408000000,1408000000
4000,BSV,4020,nan,3000,1408000000,1408000000
4000,BSV,4020,nan,7900,1408000000,1408000000
4000,BSV,4020,nan,7901,1408000000,1408000000
4000,BSV,4020,nan,7920,1408000000,1408000000
4000,BSV,4020,nan,7921,1408000000,1408000000
4000,BSV,4030,nan,7900,1408000000,1408000000
4000,BSV,4030,nan,7901,1408000000,1408000000
4000,BSV,4050,nan,3000,1408000000,1408000000
4000,BSV,4050,nan,7901,1408000000,1408000000
4000,BSV,4050,nan,7921,1408000000,1408000000
4000,BSV,4100,nan,7900,1408000000,1408000000
4000,BSV,4100,nan,7901,1408000000,1408000000
4000,BSV,4100,nan,7920,1408000000,1408000000
4000,BSV,4100,nan,7921,1408000000,1408000000
4000,BSV,4110,nan,7900,1408000000,1408000000
4000,BSV,4110,nan,7901,1408000000,1408000000
4000,BSV,4110,nan,7920,1408000000,1408000000
4000,BSV,4110,nan,7921,1408000000,1408000000
4000,BSV,4120,nan,7900,1408000000,1408000000
4000,BSV,4120,nan,7901,1408000000,1408000000
4000,BSV,4120,nan,7920,1408000000,1408000000
4000,BSV,4120,nan,7921,1408000000,1408000000
4000,BSV,4120,nan,7923,1408000000,1408000000
4000,BSV,4120,nan,7928,1408000000,1408000000
4000,BSV,4130,nan,7900,1408000000,1408000000
4000,BSV,4130,nan,7920,1408000000,1408000000
4000,BSV,4150,nan,7900,1408000000,1408000000
4000,BSV,4150,nan,7920,1408000000,1408000000
4000,BSV,4150,nan,7921,1408000000,1408000000
4000,BSV,4180,nan,7900,1408000000,1408000000
4000,BSV,4180,nan,7901,1408000000,1408000000
4000,BSV,4180,nan,7920,1408000000,1408000000
4000,BSV,4180,nan,7921,1408000000,1408000000
4000,BSV,4230,nan,3000,1408000000,1408000000
4000,BSV,4410,nan,7901,1408000000,1408000000
4000,BSV,4410,nan,7921,1408000000,1408000000
4000,BSV,4420,nan,3100,1408000000,1408000000
4000,BSV,4480,nan,7900,1408000000,1408000000
4000,BSV,4480,nan,7901,1408000000,1408000000
4000,BSV,4480,nan,7920,1408000000,1408000000
4000,BSV,4480,nan,7921,1408000000,1408000000
4000,BSV,4510,nan,7900,1408000000,1408000000
4000,BSV,4510,nan,7901,1408000000,1408000000
4000,BSV,4510,nan,7920,1408000000,1408000000
4000,BSV,4510,nan,7921,1408000000,1408000000
4000,BSV,4510,nan,7924,1408000000,1408000000
4000,BSV,4510,nan,7928,1408000000,1408000000
4000,BSV,4520,nan,7900,1408000000,1408000000
4000,BSV,4520,nan,7901,1408000000,1408000000
4000,BSV,4520,nan,7920,1408000000,1408000000
4000,BSV,4520,nan,7921,1408000000,1408000000
4000,BSV,4540,nan,7921,1408000000,1408000000
4000,BSV,4580,nan,7900,1408000000,1408000000
4000,BSV,4580,nan,7901,1408000000,1408000000
4000,BSV,4580,nan,7920,1408000000,1408000000
4000,BSV,4580,nan,7921,1408000000,1408000000
4000,BSV,4680,nan,7900,1408000000,1408000000
4000,BSV,4680,nan,7901,1408000000,1408000000
4000,BSV,4680,nan,7921,1408000000,1408000000
4000,BSV,4800,nan,7921,1408000000,1408000000
4000,BSV,4820,nan,7900,1408000000,1408000000
4000,BSV,4820,nan,7901,1408000000,1408000000
4000,BSV,4820,nan,7920,1408000000,1408000000
4000,BSV,4820,nan,7921,1408000000,1408000000
4000,BSV,4830,nan,7901,1408000000,1408000000
4000,BSV,4830,nan,7921,1408000000,1408000000
4000,BSV,4870,nan,7901,1408000000,1408000000
4000,BSV,4870,nan,7921,1408000000,1408000000
4000,BSV,4990,nan,7921,1408000000,1408000000
4000,BSV,5010,nan,7921,1408000000,1408000000
4000,BSV,5020,nan,7921,1408000000,1408000000
4000,BSV,5030,nan,7921,1408000000,1408000000
4000,BSV,5050,nan,7920,1408000000,1408000000
4000,BSV,5050,nan,7921,1408000000,1408000000
4000,BSV,5050,nan,7923,1408000000,1408000000
4000,BSX,4000,nan,3050,1403020000,1403020000
4000,BSX,4000,nan,3400,1403020000,1403020000
4000,BSX,4010,nan,3000,1403010000,1403010000
4000,BSX,4010,nan,3040,1410000000,1410000000
4000,BSX,4010,nan,3050,1403020000,1403020000
4000,BSX,4010,nan,3051,1403020000,1403020000
4000,BSX,4010,nan,3400,1403020000,1403020000
4000,BSX,4010,nan,3500,1412000000,1412000000
4000,BSX,4010,nan,7900,1407000000,1407000000
4000,BSX,4010,nan,7901,1405020000,1405020000
4000,BSX,4010,nan,7920,1405010000,1405010000
4000,BSX,4010,nan,7921,1405020000,1405020000
4000,BSX,4010,nan,7922,1405020000,1405020000
