COMPANY_CODE,SAKNR,TXT50,货币,部门,已结转余额,前一期间的余额,DMBTR_DEBIT,DMBTR_CREDIT,累计余额
4110,1002010201,银行存款-人民币-农业银行-基本户,CNY,,                  0.00,                  0.00,643776701.03,643776701.03,                  0.00
4110,1002010210,银行存款-人民币-农业银行-一般户1,CNY,,                394.50,                  0.00,536920370.25,536920563.75,                201.00
4110,1002010211,银行存款-人民币-农业银行-一般户2,CNY,,                  0.00,                  0.00,24679893.14,24679893.14,                  0.00
4110,1002010212,银行存款-人民币-农业银行-一般户3,CNY,,                  0.00,                  0.00,15463229.61,15463229.61,                  0.00
4110,1002010410,银行存款-人民币-交通银行-一般户1,CNY,,                173.32,                  0.00,300.02,400.0,                 73.34
4110,1002010511,银行存款-人民币-工商银行-一般户2,CNY,,                784.80,                  0.00,252878.76,253458.38,                205.18
4110,1002010810,银行存款-人民币-兴业银行-一般户1,CNY,,                150.17,                  0.00,300.03,420.0,                 30.20
4110,1002011010,银行存款-人民币-招商银行-一般户1,CNY,,                356.93,                  0.00,300.02,619.86,                 37.09
4110,1002011810,银行存款-人民币-邮政储蓄银行-一般户1,CNY,,                536.66,                  0.00,3099522.73,3099698.74,                360.65
4110,1002013810,银行存款-人民币-平安银行-一般户1,CNY,,                 52.52,                  0.00,500.04,350.0,                202.56
4110,1002015410,银行存款-人民币-日照银行-一般户1,CNY,,"          3,500,588.15",                  0.00,438.82,3501000.0,                 26.97
4110,1002015510,银行存款-人民币-青岛银行-一般户1,CNY,,                  0.00,                  0.00,348.0,61.0,                287.00
4110,1002015610,银行存款-人民币-江苏银行-一般户1,CNY,,                  0.00,                  0.00,300.0,0.0,                300.00
4110,1012090000,其他货币资金-住房公积金,CNY,,"            410,383.07",                  0.00,51.2,200.0,"            410,234.27"
4110,1012990100,其他货币资金-在途资金-供应链金融,CNY,,                  0.00,                  0.00,1112671.0,1112671.0,                  0.00
4110,1121020000,应收票据-商业承兑汇票,CNY,,                  0.00,                  0.00,17500000.0,17500000.0,                  0.00
4110,1122010000,应收账款-应收货款,CNY,,"-13,905,887.21",                  0.00,1188766480.4,1100577416.9,"         74,283,176.29"
4110,1122020000,应收账款-客户保证金,CNY,,"-40,000.00",                  0.00,20000.0,10000.0,"-30,000.00"
4110,1123000000,预付账款,CNY,,"          1,333,200.00",                  0.00,6974132.0,2972448.45,"          5,334,883.55"
4110,1221000000,其他应收款-其他,CNY,,                  0.00,                  0.00,8946.72,8946.72,                  0.00
4110,1221010000,其他应收款-瓶箱押金,CNY,,"-414,122.00",                  0.00,333817.0,210801.5,"-291,106.50"
4110,1221030000,其他应收款-陈列柜押金,CNY,,"-1,429,020.00",                  0.00,206900.0,134100.0,"-1,356,220.00"
4110,1221040000,其他应收款-保证金,CNY,,"-3,395,517.66",                  0.00,1545371.5,1147201.0,"-2,997,347.16"
4110,1231010000,坏账准备-应收账款,CNY,,"-68,770.88",                  0.00,19664.66,26551.87,"-75,658.09"
4110,1231020000,坏账准备-其他应收账款,CNY,,"-405,586.27",                  0.00,5537.02,45091.53,"-445,140.78"
4110,1403010000,原材料-原辅料,CNY,,"          6,585,441.06",                  0.00,317882946.34,317119895.66,"          7,348,491.74"
4110,1403020000,原材料-备品备件,CNY,,"          2,068,134.23",                  0.00,8030340.51,7537363.42,"          2,561,111.32"
4110,1403999998,原材料差异-物料账,CNY,,"        260,727,414.67",                  0.00,60063783.75,2325086.88,"        318,466,111.54"
4110,1403999999,原材料差异,CNY,,"-260,727,414.67",                  0.00,5776174.86,63514871.73,"-318,466,111.54"
4110,1405010000,库存商品-产成品,CNY,,"         11,829,987.50",                  0.00,476230091.22,476701028.4,"         11,359,050.32"
4110,1405020000,库存商品-外购商品,CNY,,"             57,343.85",                  0.00,5656691.42,5408000.51,"            306,034.76"
4110,1405999998,产成品差异-物料账,CNY,,"-67,733,334.64",                  0.00,12001227.47,18098896.26,"-73,831,003.43"
4110,1405999999,产成品差异,CNY,,"         67,733,334.64",                  0.00,15840351.66,9742682.87,"         73,831,003.43"
4110,1407000000,自制半成品,CNY,,"            144,694.70",                  0.00,592151233.9,592074393.21,"            221,535.39"
4110,1407999998,半成品差异-物料账,CNY,,"        573,197,615.36",                  0.00,25200668.34,5156847.55,"        593,241,436.15"
4110,1407999999,半成品差异,CNY,,"-573,197,615.36",                  0.00,4831511.3,24875332.09,"-593,241,436.15"
4110,1408000000,委托加工物资-结转,CNY,,"-38,266,795.94",                  0.00,0.0,0.0,"-38,266,795.94"
4110,1408010000,委托加工物资-材料,CNY,,"         38,266,795.94",                  0.00,0.0,0.0,"         38,266,795.94"
4110,1410000000,包装物,CNY,,"          3,712,858.33",                  0.00,94160313.12,94402622.36,"          3,470,549.09"
4110,1411020000,周转材料,CNY,,"            274,534.36",                  0.00,163516.46,209251.82,"            228,799.00"
4110,1533010000,使用权资产,CNY,,"          2,715,881.90",                  0.00,0.0,0.0,"          2,715,881.90"
4110,1533020000,累计折旧-使用权资产,CNY,,"-1,607,672.50",                  0.00,0.0,171997.17,"-1,779,669.67"
4110,1601010000,固定资产-生产用房屋及建筑物,CNY,,"         64,705,852.02",                  0.00,66262.39,0.0,"         64,772,114.41"
4110,1601020000,固定资产-非生产用房屋建筑物,CNY,,"          9,566,466.17",                  0.00,0.0,0.0,"          9,566,466.17"
4110,1601040000,固定资产-其他房屋建筑物,CNY,,"          3,839,071.54",                  0.00,0.0,0.0,"          3,839,071.54"
4110,1601050000,固定资产-机器设备,CNY,,"        201,354,868.28",                  0.00,2346902.67,1900283.95,"        201,801,487.00"
4110,1601060000,固定资产-运输设备,CNY,,"            418,520.36",                  0.00,0.0,0.0,"            418,520.36"
4110,1601070000,固定资产-器具及办公家俱,CNY,,"          1,898,895.68",                  0.00,10450.0,4750.0,"          1,904,595.68"
4110,1601080000,固定资产-电子设备,CNY,,"         12,054,562.94",                  0.00,75873.69,584507.18,"         11,545,929.45"
4110,1601090000,固定资产-品控检验设备,CNY,,"          6,856,583.51",                  0.00,0.0,0.0,"          6,856,583.51"
4110,1601100000,固定资产-其他设备,CNY,,"          7,905,932.61",                  0.00,84336.28,0.0,"          7,990,268.89"
4110,1601110000,固定资产-辅助专用设备,CNY,,"          3,456,930.52",                  0.00,46017.7,0.0,"          3,502,948.22"
4110,1602010000,累计折旧-房屋及建筑物,CNY,,"-14,783,240.86",                  0.00,0.0,772452.95,"-15,555,693.81"
4110,1602020000,累计折旧-非生产用房屋建筑物,CNY,,"-2,519,534.01",                  0.00,0.0,102874.78,"-2,622,408.79"
4110,1602040000,累计折旧-其他房屋建筑物,CNY,,"-2,526,826.49",                  0.00,0.0,90150.17,"-2,616,976.66"
4110,1602050000,累计折旧-机器设备,CNY,,"-97,277,576.90",                  0.00,1091815.45,6090596.9,"-102,276,358.35"
4110,1602060000,累计折旧-运输设备,CNY,,"-266,296.41",                  0.00,0.0,26786.82,"-293,083.23"
4110,1602070000,累计折旧-器具及办公家俱,CNY,,"-1,489,862.84",                  0.00,2557.08,96966.16,"-1,584,271.92"
4110,1602080000,累计折旧-电子设备,CNY,,"-9,133,426.23",                  0.00,534903.07,713395.65,"-9,311,918.81"
4110,1602090000,累计折旧-品控检验设备,CNY,,"-4,743,660.24",                  0.00,0.0,264786.88,"-5,008,447.12"
4110,1602100000,累计折旧-其他设备,CNY,,"-6,319,179.79",                  0.00,0.0,262514.69,"-6,581,694.48"
4110,1602110000,累计折旧-辅助专用设备,CNY,,"-1,462,963.80",                  0.00,0.0,91714.35,"-1,554,678.15"
4110,1603050000,固定资产-减值准备-机器设备,CNY,,"-3,974,630.43",                  0.00,0.0,0.0,"-3,974,630.43"
4110,1603100000,固定资产-减值准备-其他设备,CNY,,"-1,686.56",                  0.00,0.0,0.0,"-1,686.56"
4110,1603110000,固定资产-减值准备-辅助专用设备,CNY,,"-28,341.33",                  0.00,0.0,0.0,"-28,341.33"
