COMPANY_CODE,Fiscal Year,Period,DOC_NUM,Line Item,Document Type,DATE,Posting Date,Transaction Code,Currency,SHKZG,Posting Key,SAKNR,TXT50,AMOUNT,Assignment,Line Text,WERKS,MATNR,Movement Type,PO/SO/Order Ref,T030 Chart,KTOSL,T030 BWMOD,KOMOK,T030 BKLAS,T030_CONFIG_ROW_ID,SCENARIO_L1,SCENARIO_L2,CONFIG_COVERED_FLAG,Account Present in Balance Sheet,Synthetic Flag
4390,2026,1,9200000001,1,WA,2026-01-03 00:00:00,2026-01-03 00:00:00,MIGO,CNY,S,40,1405999999,产成品差异,265260.33,AUM-4010-NA-7900,转储/物料差异 AUM 自动过账科目测试,4010,MAT7900055,309/311,REF00000001,4000,AUM,4010,,7900,T030-00001,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4110,2026,1,9200000002,1,WA,2026-01-08 00:00:00,2026-01-08 00:00:00,MIGO,CNY,S,40,1405999999,产成品差异,285278.65,AUM-4010-NA-7920,转储/物料差异 AUM 自动过账科目测试,4010,MAT7900011,309/311,REF00000002,4000,AUM,4010,,7920,T030-00002,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4390,2026,1,9200000003,1,WA,2026-01-13 00:00:00,2026-01-13 00:00:00,MIGO,CNY,H,50,1405999999,产成品差异,175779.28,AUM-4010-NA-7921,转储/物料差异 AUM 自动过账科目测试,4010,MAT7900048,309/311,REF00000003,4000,AUM,4010,,7921,T030-00003,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4110,2026,1,9200000004,1,WA,2026-01-18 00:00:00,2026-01-18 00:00:00,MIGO,CNY,S,40,1405999999,产成品差异,190550.16,AUM-4020-NA-7900,转储/物料差异 AUM 自动过账科目测试,4020,MAT7900054,309/311,REF00000004,4000,AUM,4020,,7900,T030-00004,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4390,2026,1,9200000005,1,WA,2026-01-23 00:00:00,2026-01-23 00:00:00,MIGO,CNY,S,40,1405999999,产成品差异,100483.31,AUM-4020-NA-7920,转储/物料差异 AUM 自动过账科目测试,4020,MAT7900038,309/311,REF00000005,4000,AUM,4020,,7920,T030-00005,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4110,2026,1,9200000006,1,WA,2026-01-27 00:00:00,2026-01-27 00:00:00,MIGO,CNY,H,50,1405999999,产成品差异,146544.78,AUM-4020-NA-7921,转储/物料差异 AUM 自动过账科目测试,4020,MAT7900057,309/311,REF00000006,4000,AUM,4020,,7921,T030-00006,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4390,2026,2,9200000007,1,WA,2026-02-03 00:00:00,2026-02-03 00:00:00,MIGO,CNY,S,40,1405999999,产成品差异,228645.95,AUM-4030-NA-7920,转储/物料差异 AUM 自动过账科目测试,4030,MAT7900050,309/311,REF00000007,4000,AUM,4030,,7920,T030-00007,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4110,2026,2,9200000008,1,WA,2026-02-08 00:00:00,2026-02-08 00:00:00,MIGO,CNY,S,40,1405999999,产成品差异,162543.47,AUM-4050-NA-7921,转储/物料差异 AUM 自动过账科目测试,4050,MAT7900058,309/311,REF00000008,4000,AUM,4050,,7921,T030-00008,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4390,2026,2,9200000009,1,WA,2026-02-13 00:00:00,2026-02-13 00:00:00,MIGO,CNY,H,50,1405999999,产成品差异,265932.56,AUM-4100-NA-7920,转储/物料差异 AUM 自动过账科目测试,4100,MAT7900002,309/311,REF00000009,4000,AUM,4100,,7920,T030-00009,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4110,2026,2,9200000010,1,WA,2026-02-18 00:00:00,2026-02-18 00:00:00,MIGO,CNY,S,40,1405999999,产成品差异,288591.54,AUM-4100-NA-7924,转储/物料差异 AUM 自动过账科目测试,4100,MAT7900033,309/311,REF00000010,4000,AUM,4100,,7924,T030-00010,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4390,2026,2,9200000011,1,WA,2026-02-23 00:00:00,2026-02-23 00:00:00,MIGO,CNY,S,40,1405999999,产成品差异,42355.21,AUM-4110-NA-7923,转储/物料差异 AUM 自动过账科目测试,4110,MAT7900001,309/311,REF00000011,4000,AUM,4110,,7923,T030-00011,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4110,2026,2,9200000012,1,WA,2026-02-27 00:00:00,2026-02-27 00:00:00,MIGO,CNY,H,50,1405999999,产成品差异,121061.8,AUM-4120-NA-7923,转储/物料差异 AUM 自动过账科目测试,4120,MAT7900010,309/311,REF00000012,4000,AUM,4120,,7923,T030-00012,库存转储差异,转储/物料差异 AUM,Y,Y,Y
4390,2026,3,9200000013,1,WA,2026-03-03 00:00:00,2026-03-03 00:00:00,MIGO,CNY,S,40,1405999999,产成品差异,51581.69,AUM-4120-NA-7928,转储/物料差异 AUM 自动过账科目测试,4120,MAT7900039,309/311,REF00000013,4000,AUM,4120,,7928,T030-00013,库存转储差异,转储/物料差异 AUM,Y,Y,Y
