SCENARIO,DOC_NUM,SAKNR,TXT50,MATNR,AMOUNT,SHKZG,DATE
采购收货,4700052972,1403010000,原材料-原辅料,10000000,132080,S,2026-06-01
采购收货,4700052972,2202030100,应付账款-暂估GR/IR,10000000,-108966,H,2026-06-01
采购收货,4700052972,1403999999,原材料差异,10000000,-23114,H,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50001280,-164.44,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50001280,164.44,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50001285,-9.78,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50001285,9.78,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50001285,-10.86,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50001285,10.86,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50001285,-10.86,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50001285,10.86,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50001285,-10.86,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50001285,10.86,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50001285,-6.52,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50001285,6.52,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50001285,-6.52,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50001285,6.52,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50001285,-6.52,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50001285,6.52,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50001332,-21.81,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50001332,21.81,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50003428,-48.23,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50003428,48.23,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50004332,-11.47,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50004332,11.47,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50004332,-5.73,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50004332,5.73,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50004333,-11.52,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50004333,11.52,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50004333,-17.28,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50004333,17.28,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50004333,-5.76,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50004333,5.76,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50004333,-5.76,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50004333,5.76,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50004890,-17.66,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50004890,17.66,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50004890,-17.66,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50004890,17.66,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50004890,-8.83,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50004890,8.83,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50004891,-8.48,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50004891,8.48,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50004891,-16.97,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50004891,16.97,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50004891,-16.97,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50004891,16.97,S,2026-06-01
销售发货,8178095898,1405020000,库存商品-外购商品,50006420,-1.33,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50006420,1.33,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50007871,-17.59,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50007871,17.59,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50007871,-8.79,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50007871,8.79,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50007871,-8.79,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50007871,8.79,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50007871,-8.79,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50007871,8.79,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50009020,-9.18,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50009020,9.18,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50009020,-9.18,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50009020,9.18,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50009020,-9.18,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50009020,9.18,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50009055,-23.03,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50009055,23.03,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50009055,-13.82,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50009055,13.82,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50009055,-18.42,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50009055,18.42,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50009055,-18.42,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50009055,18.42,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50009303,-114.41,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50009303,114.41,S,2026-06-01
销售发货,8178095898,1405010000,库存商品-产成品,50009303,-12.71,H,2026-06-01
销售发货,8178095898,6401000000,主营业务成本,50009303,12.71,S,2026-06-01
