行项目,KTOSL,记帐代码,SAKNR,TXT50,MATNR,文本,备注,数量,SHKZG,AMOUNT,货币,DOC_NUM,订单,开票凭证,说明,SCENARIO
1,BSX,89,1403010000,原材料-原辅料,10000000,0/普通奶,,33020,S,132080.0,CNY,4700052972,,,原材料-原辅料,采购收货
2,WRX,96,2202030100,应付账款-暂估GR/IR,10000000,0/普通奶,,-33020,H,-108966.0,CNY,4700052972,,,应付账款-暂估GR/IR,采购收货
3,PRD,96,1403999999,原材料差异,10000000,0/普通奶,,-33020,H,-23114.0,CNY,4700052972,,,原材料差异,采购收货
1,BSX,99,1405010000,库存商品-产成品,50001280,本月产品出库,,-60,H,-164.44,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
2,GBB,81,6401000000,主营业务成本,50001280,本月产品出库,,60,S,164.44,CNY,8178095898,,8178095898,主营业务成本,销售发货
3,BSX,99,1405010000,库存商品-产成品,50001285,本月产品出库,,-9,H,-9.78,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
4,GBB,81,6401000000,主营业务成本,50001285,本月产品出库,,9,S,9.78,CNY,8178095898,,8178095898,主营业务成本,销售发货
5,BSX,99,1405010000,库存商品-产成品,50001285,本月产品出库,,-10,H,-10.86,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
6,GBB,81,6401000000,主营业务成本,50001285,本月产品出库,,10,S,10.86,CNY,8178095898,,8178095898,主营业务成本,销售发货
7,BSX,99,1405010000,库存商品-产成品,50001285,本月产品出库,,-10,H,-10.86,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
8,GBB,81,6401000000,主营业务成本,50001285,本月产品出库,,10,S,10.86,CNY,8178095898,,8178095898,主营业务成本,销售发货
9,BSX,99,1405010000,库存商品-产成品,50001285,本月产品出库,,-10,H,-10.86,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
10,GBB,81,6401000000,主营业务成本,50001285,本月产品出库,,10,S,10.86,CNY,8178095898,,8178095898,主营业务成本,销售发货
11,BSX,99,1405010000,库存商品-产成品,50001285,本月产品出库,,-6,H,-6.52,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
12,GBB,81,6401000000,主营业务成本,50001285,本月产品出库,,6,S,6.52,CNY,8178095898,,8178095898,主营业务成本,销售发货
13,BSX,99,1405010000,库存商品-产成品,50001285,本月产品出库,,-6,H,-6.52,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
14,GBB,81,6401000000,主营业务成本,50001285,本月产品出库,,6,S,6.52,CNY,8178095898,,8178095898,主营业务成本,销售发货
15,BSX,99,1405010000,库存商品-产成品,50001285,本月产品出库,,-6,H,-6.52,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
16,GBB,81,6401000000,主营业务成本,50001285,本月产品出库,,6,S,6.52,CNY,8178095898,,8178095898,主营业务成本,销售发货
17,BSX,99,1405010000,库存商品-产成品,50001332,本月产品出库,,-16,H,-21.81,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
18,GBB,81,6401000000,主营业务成本,50001332,本月产品出库,,16,S,21.81,CNY,8178095898,,8178095898,主营业务成本,销售发货
19,BSX,99,1405010000,库存商品-产成品,50003428,本月产品出库,,-27,H,-48.23,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
20,GBB,81,6401000000,主营业务成本,50003428,本月产品出库,,27,S,48.23,CNY,8178095898,,8178095898,主营业务成本,销售发货
21,BSX,99,1405010000,库存商品-产成品,50004332,本月产品出库,,-4,H,-11.47,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
22,GBB,81,6401000000,主营业务成本,50004332,本月产品出库,,4,S,11.47,CNY,8178095898,,8178095898,主营业务成本,销售发货
23,BSX,99,1405010000,库存商品-产成品,50004332,本月产品出库,,-2,H,-5.73,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
24,GBB,81,6401000000,主营业务成本,50004332,本月产品出库,,2,S,5.73,CNY,8178095898,,8178095898,主营业务成本,销售发货
25,BSX,99,1405010000,库存商品-产成品,50004333,本月产品出库,,-4,H,-11.52,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
26,GBB,81,6401000000,主营业务成本,50004333,本月产品出库,,4,S,11.52,CNY,8178095898,,8178095898,主营业务成本,销售发货
27,BSX,99,1405010000,库存商品-产成品,50004333,本月产品出库,,-6,H,-17.28,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
28,GBB,81,6401000000,主营业务成本,50004333,本月产品出库,,6,S,17.28,CNY,8178095898,,8178095898,主营业务成本,销售发货
29,BSX,99,1405010000,库存商品-产成品,50004333,本月产品出库,,-2,H,-5.76,CNY,8178095898,,8178095898,库存商品-产成品,销售发货
