评估范围,BUKRS,BWMOD,允许有负的库存,物料帐簿有效的,ML 激活(强制),销售价格评估,解释工具,重估概要,基于评价的 IM 参数文件,物料价格确定: 控制,在评估范围中绑定价格确定,库存修正容差,价格差异GR SC,收据值入帐,两个FI凭证,价格发布,ActCstCmpSplt Active,价格差异科目的交货成本,从会计年度
0001,0001,0001,,,,,,,,,,0,,X,X,,false,X,
4000,4000,4000,,,,,,,,,,0,,,,,false,,
4010,4010,4010,,,,,,,,,,0,,,,,false,,
4020,4020,4020,,,,,,,,,,0,X,,,,false,,
4030,4030,4030,,X,X,,,,,3,,0,,,,,true,,
4040,4040,4040,,,,,,,,,,0,,,,,false,,
4041,4040,4040,,,,,,,,,,0,,,,,false,,
4042,4040,4040,,,,,,,,,,0,,,,,false,,
4043,4040,4040,,,,,,,,,,0,,,,,false,,
4044,4040,4040,,,,,,,,,,0,,,,,false,,
4050,4050,4050,,,,,,,,,,0,X,,,,false,,
4070,4070,4070,,,,,,,,,,0,,,,,false,,
4090,4090,4090,,,,,,,,,,0,,,,,false,,
4100,4100,4100,,X,X,,,,,3,,0,,,,,true,,
4110,4110,4110,,X,X,,,,,3,,0,,,,,true,,
4120,4120,4120,,X,X,,,,,3,,0,,,,,true,,
4130,4130,4130,,X,X,,,,,3,,0,,,,,true,,
4140,4140,4140,,X,X,,,,,3,,0,,,,,true,,
4141,4140,nan,,,,,,,,,,0,,,,,false,,
4150,4150,4150,,X,X,,,,,3,,0,,,,,true,,
4151,4150,4150,,X,X,,,,,3,,0,,,,,true,,
4170,4170,4170,,X,X,,,,,3,,0,,,,,true,,
4171,4170,nan,,,,,,,,,,0,,,,,false,,
4180,4180,4180,,X,X,,,,,3,,0,,,,,true,,
4181,4180,4180,,X,X,,,,,3,,0,,,,,true,,
4220,4220,4220,,,,,,,,,,0,,,,,false,,
4230,4230,4230,,,,,,,,,,0,,,,,false,,
4250,4250,4250,,,,,,,,,,0,,,,,false,,
4300,4300,4300,,,,,,,,,,0,,,,,false,,
4350,4350,4350,,,,,,,,,,0,,,,,false,,
4370,4370,4370,,,,,,,,,,0,,,,,false,,
4380,4380,4380,,,,,,,,,,0,,,,,false,,
4390,4390,4020,,X,X,,,,,3,,0,X,,,,true,,
4410,4410,4410,,X,X,,,,,3,,0,,,,,true,,
4420,4420,4420,,,,,,,,,,0,,,,,false,,
4460,4460,4460,,,,,,,,,,0,,,,,false,,
4470,4470,4470,,,,,,,,,,0,,,,,false,,
4480,4480,4480,,,,,,,,,,0,,,,,false,,
4510,4510,4510,,X,X,,,,,3,,0,,,,,true,,
4520,4520,4520,,X,X,,,,,3,,0,,,,,true,,
4530,4530,4530,,,,,,,,,,0,,,,,false,,
4540,4540,4540,,,,,,,,,,0,,,,,false,,
4550,4550,4550,,,,,,,,,,0,,,,,false,,
4560,4560,4560,,,,,,,,,,0,,,,,false,,
4580,4580,4580,,X,X,,,,,3,,0,,,,,true,,
4610,4610,4610,,,,,,,,,,0,,,,,false,,
4620,4620,4620,,,,,,,,,,0,,,,,false,,
4621,4620,4620,,,,,,,,,,0,,,,,false,,
4670,4670,4670,,,,,,,,,,0,,,,,false,,
4671,4670,4670,,,,,,,,,,0,,,,,false,,
4680,4680,4680,,X,X,,,,,3,,0,,,,,true,,
4710,4710,4710,,,,,,,,,,0,,,,,false,,
4730,4730,4730,,,,,,,,,,0,,,,,false,,
4740,4740,4740,,,,,,,,,,0,,,,,false,,
4750,4750,4750,,,,,,,,,,0,,,,,false,,
4770,4770,4770,,,,,,,,,,0,,,,,false,,
4800,4800,4800,,X,X,,,,,3,,0,,,,,true,,
4820,4820,4820,,X,X,,,,,3,,0,,,,,true,,
4830,4830,4830,,X,X,,,,,3,,0,,,,,true,,
4831,4830,nan,,,,,,,,,,0,,,,,false,,
4840,4840,4840,,,,,,,,,,0,,,,,false,,
4870,4870,4870,,,,,,,,,,0,,,,,false,,
4900,4900,4900,,,,,,,,,,0,,,,,false,,
4990,4990,4990,,,,,,,,,,0,,,,,false,,
5010,5010,5010,,,,,,,,,,0,,,,,false,,
5020,5020,5020,,X,X,,,,,3,,0,,,,,true,,
5030,5030,5030,,,,,,,,,,0,,,,,false,,
5050,5050,5050,,X,X,,,,,3,,0,,,,,true,,
5060,5060,5060,,,,,,,,,,0,,,,,false,,
5080,5080,5080,,X,X,,,,,3,,0,,,,,false,,
5081,5080,5080,,X,X,,,,,3,,0,,,,,true,,
5090,5090,5090,,,,,,,,,,0,,,,,false,,
5140,5140,5140,,X,X,,,,,3,,0,,,,,false,,
5150,5150,5150,,X,X,,,,,3,,0,,,,,true,,
